antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
reserved_room_type=E,hotel=Resort Hotel,0.054685468379065336,0.33593101192024094,0.04179214656611498,0.7642276422764228,2.2749541279561027,1.0,0.02342160183620322,2.8165684666831163,0.5928510336207596,0.11980857561984463,0.6449580360538394,0.44431728715229524
"meal=BB, reserved_room_type=E",hotel=Resort Hotel,0.04246323683614492,0.33593101192024094,0.031105034015888062,0.7325167917819044,2.180557214990986,1.0,0.016840315896113046,2.482656733869823,0.5654107954003821,0.08956521739130434,0.5972056924513858,0.41255515461841563
"meal=SC, reserved_room_type=A",hotel=City Hotel,0.0870655739080103,0.6640689880797591,0.08666291974599233,0.9953752770016379,1.4989034194773851,1.0,0.028845372184316452,72.63808276500275,0.36458873512234335,0.13042380477458937,0.9862331168178656,0.5629390817255577
meal=SC,hotel=City Hotel,0.08849164073182395,0.6640689880797591,0.08786249360367086,0.9928903213574746,1.4951614051855435,1.0,0.02909793928937094,47.24981659662114,0.36332731789454464,0.13218405310583306,0.9788358966863903,0.5625998036306213
"hotel=City Hotel, meal=SC",reserved_room_type=A,0.08786249360367086,0.7203482958501456,0.08666291974599233,0.9863471453122016,1.3692642170384086,1.0,0.0233713222094437,20.483020624234694,0.29565801189261887,0.12010695808870545,0.9511790756673437,0.5533270569117371
meal=SC,reserved_room_type=A,0.08849164073182395,0.7203482958501456,0.0870655739080103,0.9838847284102757,1.3658458471802282,1.0,0.023320771309857588,17.353210747510552,0.293856828589252,0.12062713558494688,0.9423737765563956,0.5523753342070011
"hotel=City Hotel, reserved_room_type=D",meal=BB,0.0985412175255224,0.7737251382026524,0.09267756629113573,0.9404954456456966,1.2155420564859094,1.0,0.016433749142543266,3.8026477847402522,0.19670534380568325,0.11888006542277316,0.7370253421805388,0.5301382199226478
