support,itemsets
0.5100453824795108,"frozenset({'reserved_room_type=A', 'hotel=City Hotel', 'is_repeated_guest=0'})"
0.509735003229622,"frozenset({'customer_type=Transient', 'distribution_channel=TA/TO', 'deposit_type=No Deposit'})"
0.5065473244469797,"frozenset({'hotel=City Hotel', 'is_repeated_guest=0', 'meal=BB'})"
0.503124764069827,"frozenset({'reserved_room_type=A', 'hotel=City Hotel', 'is_family_trip=0'})"
0.497680544254209,"frozenset({'customer_type=Transient', 'meal=BB', 'deposit_type=No Deposit'})"
0.497210781065188,"frozenset({'customer_type=Transient', 'hotel=City Hotel'})"
0.4903992148243841,"frozenset({'customer_type=Transient', 'reserved_room_type=A', 'is_repeated_guest=0'})"
0.48706892935936047,"frozenset({'reserved_room_type=A', 'distribution_channel=TA/TO', 'deposit_type=No Deposit'})"
0.4854918672247901,"frozenset({'customer_type=Transient', 'reserved_room_type=A', 'is_family_trip=0'})"
0.4842671274819854,"frozenset({'is_canceled=0', 'meal=BB'})"
0.4840741890293518,"frozenset({'customer_type=Transient', 'hotel=City Hotel', 'is_repeated_guest=0'})"
0.4833024352188174,"frozenset({'is_canceled=0', 'distribution_channel=TA/TO'})"
0.48288300380004867,"frozenset({'is_canceled=0', 'meal=BB', 'deposit_type=No Deposit'})"
0.48256423592178443,"frozenset({'is_canceled=0', 'distribution_channel=TA/TO', 'deposit_type=No Deposit'})"
0.4816498754288686,"frozenset({'hotel=City Hotel', 'meal=BB', 'is_family_trip=0'})"
0.47585333322148493,"frozenset({'is_repeated_guest=0', 'is_canceled=0', 'distribution_channel=TA/TO'})"
0.4731857493981159,frozenset({'market_segment=Online TA'})
0.47288375877660244,"frozenset({'hotel=City Hotel', 'distribution_channel=TA/TO', 'deposit_type=No Deposit'})"
0.4725649908983382,"frozenset({'market_segment=Online TA', 'deposit_type=No Deposit'})"
0.47049299968962077,"frozenset({'distribution_channel=TA/TO', 'market_segment=Online TA'})"
0.4699477388452214,"frozenset({'distribution_channel=TA/TO', 'market_segment=Online TA', 'deposit_type=No Deposit'})"
0.4691424305211855,"frozenset({'customer_type=Transient', 'distribution_channel=TA/TO', 'meal=BB'})"
0.4684126198525279,"frozenset({'is_repeated_guest=0', 'market_segment=Online TA'})"
0.46780024998112557,"frozenset({'is_repeated_guest=0', 'market_segment=Online TA', 'deposit_type=No Deposit'})"
0.4662147992181798,"frozenset({'distribution_channel=TA/TO', 'is_repeated_guest=0', 'market_segment=Online TA'})"
0.46120678807808135,"frozenset({'reserved_room_type=A', 'hotel=City Hotel', 'distribution_channel=TA/TO'})"
0.45967166908538787,"frozenset({'is_repeated_guest=0', 'is_canceled=0', 'meal=BB'})"
0.45882441761947507,frozenset({'stay_bucket=2-3'})
0.455955506715097,"frozenset({'customer_type=Transient', 'hotel=City Hotel', 'is_family_trip=0'})"
0.4474326602857167,"frozenset({'is_repeated_guest=0', 'stay_bucket=2-3'})"
0.44565427107013733,"frozenset({'is_canceled=0', 'distribution_channel=TA/TO', 'is_family_trip=0'})"
0.4444463085840834,"frozenset({'customer_type=Transient', 'is_canceled=0', 'deposit_type=No Deposit'})"
0.4444463085840834,"frozenset({'customer_type=Transient', 'is_canceled=0'})"
0.4432131802129034,"frozenset({'is_canceled=0', 'meal=BB', 'is_family_trip=0'})"
0.4414515682540748,"frozenset({'hotel=City Hotel', 'distribution_channel=TA/TO', 'meal=BB'})"
0.4382806667281833,"frozenset({'reserved_room_type=A', 'is_canceled=0'})"
